,Age,Gender,City,Position,Years of experience,Seniority level,Salary_in_EUR,Main language at work,Company size,Company type,Year
188,35,Male,MÜNCHEN,C++ DEVELOPER,14.0,SENIOR,70000.0,English,up to 10,STARTUP,2018
189,31,Female,FRANKONIA,QA ENGINEER,7.0,SENIOR,44000.0,English,100-1000,PRODUCT,2018
190,26,Male,BERLIN,COMPUTER VISION ENGINEER,2.5,MIDDLE,50000.0,English,up to 10,STARTUP,2018
191,26,Male,MÜNCHEN,JAVA DEVELOPER,4.0,MIDDLE,58000.0,English,100-1000,AGENCY,2018
192,32,Male,BERLIN,DEVOPS,9.0,MIDDLE,60000.0,English,10-50,STARTUP,2018
193,42,Male,STUTTGART ,DIGITAL PROJECT MANAGER,3.0,SENIOR,60000.0,Deutsch,1000+,PERSONALDIENSTLEISTER,2018
194,27,Male,BERLIN,BACKEND DEVELOPER,3.0,SENIOR,64000.0,English,100-1000,STARTUP,2018
195,38,Male,BERLIN,PM,5.0,SENIOR,80000.0,English,10-50,PRODUCT,2018
196,24,Male,MÜNCHEN,MACHINE LEARNING ENGINEET,2.0,MIDDLE,58000.0,English,10-50,STARTUP,2018
197,32,Male,BERLIN,MACHINE LEARNING ENGINEER,8.0,SENIOR,95000.0,English,50-100,PRODUCT,2018
198,28,Female,BERLIN,FRONTEND DEVELOPER,6.0,MIDDLE,50000.0,English,100-1000,STARTUP,2018
199,31,Male,MÜNCHEN,LEAD SOFTWARE ENGINEER,13.0,SENIOR,90000.0,English,100-1000,PRODUCT,2018
200,31,Male,STUTTGART,HEAD OF DEVELOPMENT,12.0,SENIOR,75000.0,English,100-1000,PRODUCT,2018
201,31,Male,MANNHEIM ,.NET,4.0,SENIOR,46000.0,Deutsch,50-100,STARTUP,2018
202,30,Male,KÖLN,DATA SCIENTIST,5.0,MIDDLE,80000.0,English,1000+,PRODUCT,2018
203,36,Male,MÜNCHEN,DATA SCIENTIST,5.0,SENIOR,92000.0,English,50-100,AGENCY,2018
204,24,Male,MÜNCHEN,IT CONSULTANT,4.0,MIDDLE,60000.0,English,100-1000,AGENCY,2018
205,33,Male,KARLSRUHE,EMBEDDED SW DEVELOPER,13.0,SENIOR,90000.0,Deutsch,up to 10,PRODUCT,2018
206,34,Female,MÜNCHEN,C++ DEVELOPER ,6.0,MIDDLE,63000.0,Deutsch,10-50,PRODUCT,2018
207,29,Male,MÜNCHEN,SYSTEM ENGINEER,8.0,SENIOR,75000.0,English,50-100,PRODUCT,2018
208,32,Female,BERLIN,MARKETING MANAGER,8.5,SENIOR,55000.0,English,100-1000,STARTUP,2018
209,22,Male,MÜNCHEN,SOFTWARE DEVELOPER,1.5,JUNIOR,70000.0,English,1000+,PRODUCT,2018
210,42,Male,STUTTGART,ERLANG DEVELOPER,20.0,SENIOR,74000.0,English,50-100,STARTUP,2018
211,29,Male,BERLIN,BACKEND DEVELOPER,5.0,MIDDLE,65000.0,English,50-100,PRODUCT,2018
212,29,Male,STUTTGART,COMPUTER VISION ENGINEER,6.0,SENIOR,125000.0,English,1000+,PRODUCT,2018
213,35,Male,BERLIN,SENIOR SOFTWARE ENGINEER,10.0,SENIOR,68000.0,English,100-1000,PRODUCT,2018
214,36,Male,BERLIN,ENGINEER,13.0,SENIOR,80000.0,English,100-1000,STARTUP,2018
215,29,Male,MÜNCHEN,IT ADMIN,7.0,SENIOR,40000.0,Deutsch,50-100,PRODUCT,2018
216,28,Male,STUTTGART ,C++ DEVELOPER ,5.0,MIDDLE,60000.0,English,100-1000,AGENCY,2018
217,32,Male,BERLIN,SENIOR RUBY DEVELOPER,13.0,SENIOR,65000.0,English,10-50,STARTUP,2018
218,38,Male,BERLIN,SENIOR BACKEND ENGINEER,15.0,SENIOR,92000.0,English,1000+,PRODUCT,2018
219,31,Male,BERLIN,SENIOR SOFTWARE ENGINEER,8.0,SENIOR,75000.0,English,100-1000,STARTUP,2018
220,32,Female,BERLIN,QA,5.0,SENIOR,70000.0,English,1000+,IPO,2018
221,38,Female,MÜNCHEN,JAVA DEVELOPER,16.0,MIDDLE,58000.0,Deutsch,100-1000,PRODUCT,2018
222,30,Male,BERLIN,SENIOR DATA SCIENTIST,6.0,SENIOR,76000.0,English,1000+,E-COMMERCE,2018
223,32,Male,BERLIN,SENIOR SOFTWARE ENGINEER,9.0,SENIOR,75000.0,English,100-1000,PRODUCT,2018
224,27,Male,MÜNCHEN,FULLSTACK JS,6.0,SENIOR,65000.0,English,10-50,STARTUP,2018
225,27,Male,MÜNCHEN,SENIOR SOFTWARE ENGINEER,6.0,SENIOR,75000.0,English,1000+,PRODUCT,2018
226,36,Male,BERLIN,JAVA DEVELOPER,12.0,SENIOR,80000.0,English,1000+,PRODUCT,2018
227,32,Male,MÜNCHEN,DEVOPS ENGINEER,9.0,SENIOR,80000.0,English,1000+,OUTSOURCE,2018
228,36,Male,BERLIN,PRINCIPAL ENGINEER ,10.0,SENIOR,83000.0,English,1000+,PRODUCT,2018
229,32,Male,MÜNCHEN,PHP DEV,11.0,SENIOR,80000.0,Deutsch,1000+,PRODUCT,2018
230,32,Male,BERLIN,BIG DATA ENGINEER,5.0,SENIOR,87000.0,English,10-50,STARTUP,2018
231,32,Male,MÜNCHEN,SENIOR SOFTWARE ENGINEER,9.0,SENIOR,80000.0,English,50-100,PRODUCT,2018
